MD_ID;nom_fr;nom_nl;valeur
1;Grand Place;Grote Markt;19258,84
2;Dansaert;Dansaert;18507,28
3;Béguinage - Dixmude;Begijnhof - Diksmuide;19015,61
4;Martyrs;Martelaars;19866,74
5;Notre-Dame-aux-Neiges;Onze-Lieve-Vrouw-ter-Sneeuw;19254,67
6;Quartier Royal;Koningswijk;24209,95
7;Sablon;Zavel;19358,79
8;Marolles;Marollen;15205,75
9;Stalingrad;Stalingrad;16658,71
10;Anneessens;Anneessens;15698,17
11;Cureghem Bara;Kuregem Bara;14919,30
12;Cureghem Vétérinaire;Kuregem Veeartsenij;15375,18
13;Cureghem Rosée;Kuregem Dauw;14533,47
14;Duchesse;Hertogin;15106,50
15;Gare de l'ouest;Weststation;14021,87
16;Molenbeek Historique;Historisch Molenbeek;14749,32
17;Koekelberg;Koekelberg;15750,80
18;Quartier Maritime;Havenwijk;16512,42
19;Vieux Laeken Ouest;Oud Laken West;16571,65
20;Vieux Laeken Est;Oud Laken Oost;15846,17
21;Quartier Nord;Noordwijk;15812,16
22;Quartier Brabant;Brabantwijk;15383,75
23;Colignon;Colignon;17183,81
24;Chaussée de Haecht;Haachtse Steenweg;16131,06
25;Saint-Josse Centre;Sint-Joost Centrum;16252,21
26;Dailly;Dailly;19246,92
27;Josaphat;Josaphat;21928,39
28;Plasky;Plasky;22182,94
29;Squares;Squares;19236,66
30;Porte Tervueren;Tervurense Poort;21971,59
31;Saint-Michel;Sint-Michiel;24178,48
32;Saint-Pierre;Sint-Pieter;21409,15
33;Chasse;Jacht;19314,50
34;Jourdan;Jourdan;19556,43
35;Quartier Européen;Europawijk;21295,86
36;Matonge;Matonge;19279,86
37;Flagey - Malibran;Flagey - Malibran;19193,91
38;Hôpital Etterbeek-Ixelles;Hospitaal Etterbeek-Elsene;21069,94
39;Etangs d'Ixelles;Vijvers van Elsene;24100,90
40;Louise - Longue Haie;Louiza - Langehaag;21613,14
41;Berckmans - Hôtel des Monnaies;Berckmans - Munthof;20746,08
42;Châtelain;Kastelein;23021,80
43;Brugmann - Lepoutre;Brugmann - Lepoutre;23439,31
44;Churchill;Churchill;23310,42
45;Molière - Longchamp;Molière - Longchamp;20748,80
46;Altitude 100;Hoogte 100;22948,30
47;Haut Saint-Gilles;Hoog Sint-Gillis;20688,16
48;Porte de Hal;Hallepoort;17147,87
49;Bosnie;Bosnie;16602,03
50;Bas Forest;Laag Vorst;16894,12
51;Van Volxem - Van Haelen;Van Volxem - Van Haelen;20092,74
52;Veeweyde - Aurore;Veeweide - Aurore;18218,63
53;Bizet - Roue- Ceria;Bizet - Rad - Coovi;18398,14
54;Vogelenzang - Erasme;Vogelenzang - Erasmus;19483,24
55;Neerpede;Neerpede;23292,82
56;Bon Air;Goede Lucht;16210,02
57;Scherdemael;Scherdemaal;21147,16
58;Anderlecht - Centre - Wayez;Anderlecht - Centrum - Wayez;16515,89
59;Scheut;Scheut;18144,32
60;Buffon;Buffon;19945,42
61;Moortebeek - Peterbos;Moortebeek - Peterbos;17444,16
62;Machtens;Machtens;19108,91
63;Karreveld;Karreveld;16690,13
64;Hôpital Français;Frans Hospitaal;20117,72
65;Korenbeek;Korenbeek;19646,99
66;Potaarde;Potaarde;23354,95
67;Berchem Sainte-Agathe Centre;Sint-Agatha Berchem Centrum;19463,72
68;Villas de Ganshoren;Villa's van Ganshoren;19242,17
69;Ganshoren Centre;Ganshoren Centrum;20006,01
70;Basilique;Basiliek;19118,65
71;Woeste;Woeste;18418,92
72;Jette Centre;Jette Centrum;20862,36
73;Heymbosch - AZ-Jette;Heymbosch - AZ-Jette;22197,04
74;Heysel;Heizel;18384,66
75;Houba;Houba;17655,22
76;Mutsaard;Mutsaard;20665,11
77;Heembeek;Heembeek;18887,66
78;Haren;Haren;19163,25
79;Paix;Vrede;19265,48
80;Helmet;Helmet;17942,80
81;Gare de Schaerbeek;Schaarbeek Station;18158,99
82;Terdelt;Terdelt;20228,31
83;Conscience;Conscience;19035,01
84;Avenue Léopold III;Leopold III Laan;20623,36
85;Gare Josaphat;Josaphat Station;21398,04
86;Paduwa;Paduwa;19955,16
87;Reyers;Reyers;19245,99
88;Georges Henri;Georges Henri;24011,14
89;Gribaumont;Gribaumont;24460,21
90;Roodebeek - Constellations;Roodebeek - Sterrebeelden;22593,51
91;Val d'Or;Gulledelle;24272,02
92;Kapelleveld;Kapelleveld;18470,64
93;Boulevard de la Woluwe;Woluwelaan;22690,63
94;Stockel;Stokkel;26303,00
95;Sainte-Alix - Joli Bois;Sinte-Aleidis - Mooibos;27026,82
96;Saint-Paul;Sint-Paulus;25963,32
97;Putdael;Putdaal;28749,79
98;Auderghem centre;Oudergem Centrum;25208,67
99;Chant d'Oiseau;Vogelzang;25428,95
100;Chaussée de Wavre - Saint-Julien;Waversteenweg - Sint-Juliaan;23909,26
101;Trois Tilleuls;Drie Linden;18926,07
102;Transvaal;Transvaal;25271,91
103;Boitsfort Centre;Bosvoorde Centrum;25325,85
104;Watermael Centre;Watermaal Centrum;25817,41
105;Dries;Dries;22198,56
106;Boondael;Boondaal;22246,18
107;Université;Universiteitswijk;19863,80
108;Montjoie - Langeveld;Montjoie - Langeveld;24913,52
109;Observatoire;Observatorium;26410,99
110;Fort Jaco;Fort Jaco;25946,56
111;Vivier d'Oie;Diesdelle;28318,47
112;Kriekenput - Homborch - Verrewinkel;Kriekenput - Homborch - Verrewinkel;19719,82
113;Saint-Job Kauwberg;Sint-Job Kauwberg;24838,88
114;Dieweg;Dieweg;25418,77
115;Kalevoet - Moensberg;Kalevoet - Moensberg;22147,61
116;Globe;Globe;22564,05
117;Vossegat - Roosendaal;Vossegat - Roosendaal;22926,04
118;Saint-Denis - Neerstalle;Sint-Denijs - Neerstalle;18401,88
700;Cimetière de Bruxelles;Kerkhof Brussel;
701;Cimetière d'Ixelles;Kerkhof Elsene;
702;Cimetière de Saint-Gilles;Kerkhof Sint-Gillis;
800;Industrie Nord;Industrie Noord;
801;Industrie OTAN;Industrie NATO;
802;Delta;Delta;
803;Industrie Sud;Industrie Zuid;
804;Gare du Midi;Zuidstation;
805;Industrie Birmingham;Industrie Birmingham;
900;Domaine Royal Laeken;Koninklijk Domein Laken;
901;Parc Josaphat;Josaphatpark;
902;Botanique;Kruidtuin;
903;Cinquantenaire;Jubelpark;
904;Parc Léopold;Léopoldpark;
905;Parc de la Woluwe;Park van Woluwe;
906;Forêt de Soignes;Zonienwoud;
907;Bois de la Cambre;Ter Kamerenbos;
908;Parc Wolvendael;Wolvendaelpark;
909;Parc Duden - Parc de Forest;Dudenpark - Park van Vorst;
910;Parc des Etangs;Vijverspark;
911;Parc Astrid;Astridpark;
912;Parc Forestier;Bospark;
913;Parc Marie-José;Marie-Josepark;
914;Scheutbos;Scheutbos;
915;Parc Elisabeth;Elisabethpark;
916;Bois du Laarbeek - Poelbos;Laarbeekbos - Poelbos;
917;Parc Baudouin - Dielegembos;Boudewijnpark - Dielegembos;
